case_number,date,year,type,country,area,activity,fatal,species,pdf
2016.12.01,01-Dec-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,White shark,2016.12.01-Rowland.pdf
2016.11.28,28-Nov-2016,2016,Provoked,AUSTRALIA,Victoria,Fishing,N,"Broadnose sevengill shark, 1.5 m",2016.11.28-Fisherman.pdf
2016.11.14,14-Nov-2016,2016,Unprovoked,USA,Hawaii,Floating,N,Tiger shark,2016.11.14-Zawacki.pdf
2016.10.30,30-Oct-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.10.30-Adams.pdf
2016.10.29,29-Oct-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.10.29-Shoup.pdf
2016.10.24,24-Oct-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2016.10.24-Fitzpatrick.pdf
2016.10.21,21-Oct-2016,2016,Unprovoked,USA,Hawaii,Surfing,N, 6' to 8' shark,2016.10.21-Hookipa.pdf
2016.10.15,15-Oct-2016,2016,Unprovoked,AUSTRALIA,Queensland,Surfing,N,,2016.10.15-Hallam.pdf
2016.10.14,14-Oct-2016,2016,Unprovoked,USA,Hawaii,Snorkeling,N,,2016.10.14-Maui.pdf
2016.10.13.R,13-Oct-2016,2016,Invalid,MEXICO,,Cage Diving,UNKNOWN,White shark,2016.10.13.R-Breach.pdf
2016.10.12,12-Oct-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2016.10.12-SenecaRus.pdf
2016.10.10,10-Oct-2016,2016,Unprovoked,USA,Oregon,Surfing,N,,2016.10.10-Tanner.pdf
2016.10.02,02-Oct-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.10.02-NSB.pdf
2016.10.01,01-Oct-2016,2016,Unprovoked,USA,Florida,Surfng,N,,2016.10.01-NSB.pdf
2016.09.26,26-Sep-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"White shark, 3.5 m",2016.09.26-Allen.pdf
2016.09.18.c,18-Sep-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.09.18.c-NSB.pdf
2016.09.18.b,18-Sep-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.09.18.b-Luciano.pdf
2016.09.18.a,18-Sep-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.09.18.a-NSB.pdf
2016.09.17.b,17-Sep-2016,2016,Unprovoked,USA,California,Surfing,N,,2016.09.17.b-Yuma.pdf
2016.09.17.a,17-Sep-2016,2016,Unprovoked,AUSTRALIA,Victoria,Surfing,N,,2016.09.17.a-Angiolella.pdf
2016.09.15,16-Sep-2016,2016,Unprovoked,AUSTRALIA,Victoria,Surfing,N,2 m shark,2016.09.16-BellsBeach.pdf
2016.09.15.R,15-Sep-2016,2016,Boating,AUSTRALIA,Western Australia,Fishing,N,,2016.09.15.R-boat.pdf
2016.09.11,11-Sep-2016,2016,Unprovoked,USA,Florida,Wading,N,3' to 4' shark,2016.09.11-PonteVedra.pdf
2016.09.07,07-Sep-2016,2016,Unprovoked,USA,Hawaii,Swimming,N,"Tiger shark, 10'",2016.09.07-Bagnol.pdf
2016.09.06,06-Sep-2016,2016,Unprovoked,NEW CALEDONIA,North Province,Kite surfing,Y,,2016.09.06-Jewell.pdf
2016.09.05.b,05-Sep-2016,2016,Unprovoked,USA,South Carolina,Boogie boarding,N,,2016.09.05.b-Williams.pdf
2016.09.05.a,05-Sep-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2016.09.05.a-Penman.pdf
2016.09.04,04-Sep-2016,2016,Unprovoked,USA,Florida,Body boarding,N,,2016.09.04-Moore.pdf
2016.09.01,01-Sep-2016,2016,Unprovoked,USA,California,Spearfishing,N,"White shark, 8' to 10'",2016.09.01-McQuillen.pdf
2016.09.00,Sep-2016,2016,Invalid,MEXICO,,Cage Diving,UNKNOWN,Invalid,2016.09.00-Breach.pdf
2016.08.29.b,29-Aug-2016,2016,Unprovoked,USA,Florida,Surfing,N,"Bull shark, 6'",2016.08.29.b-Cumiskey.pdf
2016.08.29.a,29-Aug-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.08.29.a-NSB.pdf
2016.08.27,27-Aug-2016,2016,Unprovoked,REUNION,,Surfing,N,"Bull shark, 3.5 m",2016.08.27-Chardard.pdf
2016.08.25,25-Aug-2016,2016,Unprovoked,USA,Florida,Wading,N,,2016.08.25-Cassetty.pdf
2016.08.07,07-Aug-2016,2016,Unprovoked,BAHAMAS,New Providence Island,Snorkeling,N,,2016.08.07-Stoch.pdf
2016.08.06,06-Aug-2016,2016,Unprovoked,USA,Hawaii,SUP Foil boarding,N,"Tiger shark, 10' ",2016.08.06-Baxter.pdf
2016.08.04,04-Aug-2016,2016,Unprovoked,USA,Florida,Surfing,N,Blacktip shark,2016.06.04-Tyler.pdf
2016.07.29,29-Jul-2016,2016,Unprovoked,SPAIN,Alicante Province,Swimming,N,Blue shark,2016.07.29-Spain.pdf
2016.07.28.R,28-Jul-2016,2016,Unprovoked,CHINA,Hong Kong,Swimming,N,,2016.07.28.R-Franz.pdf
2016.07.28,28-Jul-2016,2016,Boating,AUSTRALIA,Western Australia,Kayaking,N,White shark,2016.07.28-Watkins.pdf
2016.07.27,27-Jul-2016,2016,Provoked,USA,Florida,Lobstering,N,"Nurse shark, 4'",2016.07.27-Sapp.pdf
2016.07.26,26-Jul-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2016.07.26-Ballina.pdf
2016.07.24,24-Jul-2016,2016,Unprovoked,JAPAN,Kochi Prefecture,Surfing,N,,2016.07.24-Japan.pdf
2016.07.23.b,23-Jul-2016,2016,Unprovoked,AUSTRALIA,Tasmania,Surfing,N,,2016.07.23.b-Critchlow.pdf
2016.07.23.a,23-Jul-2016,2016,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,N,"Bull shark, 6'",2016.07.23.a-Cutbirth.pdf
2016.07.20,20-Jul-2016,2016,Provoked,AUSTRALIA,Queensland,Fishing,N,"reef shark, 1m",2016.07.20-Burck.pdf
2016.07.17,17-Jul-2016,2016,Boating,USA,Alabama,Fishing in Alabama Deep Fishing Rodeo,N,"Tiger shark, 10' ",2016.07.17-Gulf.pdf
2016.07.16.b,16-Jul-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.07.16.b-NSB.pdf
2016.07.16.a,16-Jul-2016,2016,Unprovoked,USA,Florida,,N,,2016.07.16.a-NSB.pdf
2016.07.15.b,15-Jul-2016,2016,Unprovoked,USA,California,Kite surfing,N,"White shark, 10' to 12'",2016.07.15.b-Frees.pdf
2016.07.15.a,15-Jul-2016,2016,Unprovoked,USA,South Carolina,Swimming,N,,2016.07.15.a-MyrtleBeach.pdf
2016.07.14.R,Reported  14-Jul-2016,2016,Unprovoked,BAHAMAS,,Scuba Diving,N,"Lemon shark, 9'",2016.07.14.R-TigerBeach.pdf
2016.07.08.R,Reported 08-Jul-2016,2016,Unprovoked,SPAIN,Canary Islands,Wading,N,Angel shark,2016.07.08.R-Spain.pdf
2016.07.08,08-Jul-2016,2016,Boating,USA,California,Fishing for squid,N,White shark,2016.07.08-CapitolaBoat.pdf
2016.07.07.b,07-Jul-2016,2016,Provoked,USA,Massachusetts,Fishing,N,dogfish shark,2016.07.07.b-Brissom.pdf
2016.07.07.a,07-Jul-2016,2016,Boating,USA,California,Fishing for sharks,N,White shark,2016.07.07.a-PoeBoat.pdf
2016.07.06,06-Jul-2016,2016,Unprovoked,USA,Florida,Swimming,N,,2016.07.06-Njwoman.pdf
2016.07.04,04-Jul-2016,2016,Provoked,AUSTRALIA,Queensland,Fishing,N,Tawny nurse shark,2016.07.04-Oliver.pdf
2016.06.27,27-Jun-2016,2016,Unprovoked,USA,South Carolina,,N,3' to 4' shark,2016.06.27-Sullivans.pdf
2016.06.25,25-Jun-2016,2016,Unprovoked,USA,North Carolina,Surfing,N,,2016.06.25-AtlanticBeach.pdf
2016.06.24,24-Jun-2016,2016,Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,N,"Caribbean reef shark, 4.5'",2016.06.24-Velez.pdf
2016.06.23,23-Jun-2016,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,N,White shark,2016.06.23-Nel.pdf
2016.06.21.b,21-Jun-2016,2016,Unprovoked,USA,South Carolina,Floating,N,3' to 5' shark,2016.06.21.b-Schott.pdf
2016.06.21.a,21-Jun-2016,2016,Unprovoked,USA,Florida,Wading,N,,2016.06.21.a-SatelliteBeach.pdf
2016.06.15.b,15-Jun-2016,2016,Unprovoked,USA,Hawaii,Surfing,N,3' to 4' shark,2016.06.15.b-Kauai.pdf
2016.06.15.a,15-Jun-2016,2016,Provoked,AUSTRALIA,Western Australia,Spearfishing,N,5' shark,2016.06.15.a-Vale.pdf
2016.06.14,14-Jun-2016,2016,Unprovoked,USA,Texas,Floating in tube,N,3' to 4' shark,2016.06.14-Melton.pdf
2016.06.11,11-Jun-2016,2016,Unprovoked,USA,North Carolina,Standing,N,3' shark,2016.06.11-Bowen.pdf
2016.06.07,07-Jun-2016,2016,Invalid,USA,South Carolina,Surfing,UNKNOWN,Said to involve an 8' shark but more likely damage caused by debris,2016.06.07-Oneill.pdf
2016.06.05.b,05-Jun-2016,2016,Unprovoked,USA,Florida,Swimming,N,,2016.06.05.b-Flagler.pdf
2016.06.05.a,05-Jun-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Diving,Y,3+ m shark,2016.06.05.a-Collyer.pdf
2016.06.04,04-Jun-2016,2016,Unprovoked,EGYPT,Suez,Swimming,N,Mako shark,2016.06.04-Qader.pdf
2016.06.02.b,02-Jun-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,UNKNOWN,Bronze whaler sharks x 3,2016.06.02.b-Matigan.pdf
2016.06.02.a,02-Jun-2016,2016,Unprovoked,NEW CALEDONIA,,Kite surfing,N,3 m shark,2016.06.02.a-Pierre.pdf
2016.05.31,31-May-2016,2016,Unprovoked,AUSTRALIA,Western Australia,Surfing,Y,White shark,2016.05.31-Gerring.pdf
2016.05.29.b,29-May-2016,2016,Unprovoked,USA,California,Swimming,N,,2016.05.29.b-Corona.pdf
2016.05.29.a,29-May-2016,2016,Unprovoked,USA,Florida,Swimming,N,5' shark,2016.05.29.a-Neptune.pdf
2016.05.22,22-May-2016,2016,Unprovoked,USA,Florida,Swimming,N,,2016.05.22-Marcus.pdf
2016.05.21.b,21-May-2016,2016,Unprovoked,USA,Florida,Swimming,N,"Bull shark, 4' to 5'",2016.05.21.b-Magee.pdf
2016.05.21.a,21-May-2016,2016,Unprovoked,USA,Florida,Swimming,N,,2016.05.21.a-Girl.pdf
2016.05.18,18-May-2016,2016,Unprovoked,USA,Florida,Swimming,N,"Blacktip shark, 4'",2016.05.18-Wilson.pdf
2016.05.15,15-May-2016,2016,Provoked,USA,Florida,Teasing a shark,N,"Nurse shark, 2'",2016.05.15-Boca.pdf
2016.05.03,03-May-2016,2016,Unprovoked,USA,Hawaii,Floating,N,,2016.05.03-Maui.pdf
2016.05.02,02-May-2016,2016,Provoked,NEW ZEALAND,North Island,Fishing,N,"Mako shark, 1.5 m [5'] ",2016.05.02-NZ-pdf
2016.04.25,25-Apr-2016,2016,Unprovoked,INDONESIA,Bali,Surfing,N,"Bull shark, 6'",2016.04.25-Boarman.pdf
2016.04.23,23-Apr-2016,2016,Unprovoked,USA,Florida,Surfing,N,,2016.04.23-Beardall.pdf
2016.04.22,22-Apr-2016,2016,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,N,White shark,2016.04.22-Manson.pdf
2016.04.19,19-Apr-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Swimming,N,Wobbegong shark,2016.04.19-Kedem.pdf
2016.04.18.b,18-Apr-2016,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,N,"Grey reef shark, 2 m",2016.04.18.b-Iotua.pdf
2016.04.18.a,18-Apr-2016,2016,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,N,"Grey reef shark, 2 m",2016.04.18.a-Tokoragi.pdf
2016.04.13,13-Apr-2016,2016,Unprovoked,USA,Florida,Spearfishing,N,"Bull shark, 7'",2016.04.13-Senkowicz.pdf
2016.04.09,09-Apr-2016,2016,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,Y,"Tiger shark, 2.5 m",2016.04.09-Malignon.pdf
2016.04.08,08-Apr-2016,2016,Invalid,CAPE VERDE,Boa Vista Island,,UNKNOWN,Shark involvement not confirmed,2016.04.08-CapeVerde.pdf
2016.04.07.b,07-Apr-2016,2016,Unprovoked,USA,Florida,Fishing,N,5' to 6' shark,2016.04.07.b-Lester.pdf
2016.04.07.a,07-Apr-2016,2016,Invalid,USA,Florida,SUP,UNKNOWN,,2016.04.07.a-Trinidad.pdf
2016.03.31,31-Mar-2016,2016,Unprovoked,USA,Hawaii,Snorkeling,N,,2016.03.31-Orr.pdf
2016.03.30,30-Mar-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2016.03.30-Connellan.pdf
2016.03.28.b,28-Mar-2016,2016,Unprovoked,USA,Florida,,UNKNOWN,Shark involvement not confirmed,2016.03.28.b-Kawa.pdf
2016.03.28.a,28-Mar-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2013.03.28.a-Smyth.pdf
2016.03.26,26-Mar-2016,2016,Provoked,BAHAMAS,,,N,"Nurse shark, 2.5-ft",2016.03.26-Kreckman.pdf
2016.03.13,13-Mar-2016,2016,Invalid,USA,California,Surfing,UNKNOWN,Shark involvement not confirmed,2016.03.13-BolsaChicaSurfer.pdf
2016.03.11,11-Mar-2016,2016,Unprovoked,USA,Florida,Body surfing,N,,2016.03.11-Kenny.pdf
2016.03.10,10-Mar-2016,2016,Unprovoked,Fiji,Vanua Levu,Diving for beche-de-mer,Y,,2016.03.10-Tabua.pdf
2016.03.04,04-Mar-2016,2016,Unprovoked,USA,Florida,,N,,2016.03.04-OCPark.pdf
2016.03.03.R,Reported 03-Mar-2016,2016,Unprovoked,AUSTRALIA,South Australia,Fishing,N,Bronze whaler,2016.03.03.R-Taplin.pdf
2016.03.02,02-Mar-2016,2016,Unprovoked,BRAZIL,Santa Catarina State,Swimming,N,Sandtiger shark,2016.03.02-Thomas.pdf
2016.02.22,22-Feb-2016,2016,Unprovoked,NEW CALEDONIA,South Province,Kite surfing,N,,2016.02.22-Noumea.pdf
2016.02.19, 19-Feb-2016,2016,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,N,,2016.02.19-NewCaledonia.pdf
2016.02.12,12-Feb-2016,2016,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,Wading,N,,2016.02.12-Howe.pdf
2016.02.10.R,Reported 10-Feb-2016,2016,Invalid,CAYMAN ISLANDS,Grand Cayman,Feeding stingrays?,UNKNOWN,No shark involvement,2016.02.10.R-Branson-stingray.pdf
2016.02.10,10-Feb-2016,2016,Invalid,AUSTRALIA,Tasmania,Surfing,UNKNOWN,No shark involvement,2016.02.11-NettleyBay.pdf
2016.02.05,05-Feb-2016,2016,Unprovoked,AUSTRALIA,Queensland,Walking,N,,2016.02.05-Stradbroke.pdf
2016.02.04,04-Feb-2016,2016,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,N,,2016.02.04-Morris.pdf
2016.02.02,02-Feb-2016,2016,Unprovoked,BRAZIL,Balneário Camboriú,Swimming,N,Sandtiger shark,2016.02.02-Thomas.pdf
2016.01.29,29-Jan-2016,2016,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,N,,2016.01.29-DeLange.pdf
2016.01.28,28-Jan-2016,2016,Unprovoked,USA,Hawaii,Surfing,N,"Reef shark, 5'",2016.01.28-Kauai.pdf
2016.01.25,25-Jan-2016,2016,Unprovoked,USA,Hawaii,Surfing,N,,2016.01.25-Waldman.pdf
2016.01.24.b,24-Jan-2016,2016,Unprovoked,USA,Texas,Spearfishing,N,Bull sharks x 2,2016.01.24.b-Love.pdf
2016.01.24.a,24-Jan-2016,2016,Boating,UNITED ARAB EMIRATES,Fujairah Emirate,Fishing,N,Mako shark,2016.01.24.a-UAEboat.pdf
2016.01.23,23-Jan-2016,2016,Unprovoked,USA,Hawaii,Paddle boarding,N,"Tiger shark, 14'",2016.01.23-Mason.pdf
2016.01.11.R,Reported 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,Surfing,N,Wobbegong shark,2016.01.11.R-Hilder.pdf
2016.01.05,05-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,Wading,N,Blacktip shark,2016.01.05-Davis.pdf
2016.01.02,02-Jan-2016,2016,Unprovoked,AUSTRALIA,Queensland,Spearfishing,N,3 m shark,2016.01.02-Countryman.pdf
2015.12.26,26-Dec-2015,2015,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak Fishing,N,"White shark, 3 m",2015.12.26-Wardell.pdf
2015.12.25,25-Dec-2015,2015,Unprovoked,SPAIN,Grand Canary Island,Swimming,N,"Silky shark, 6.5'",2015.12.25-GrandCanary.pdf
2015.12.22,22-Dec-2015,2015,Unprovoked,USA,Hawaii,Paddle boarding,N,9' shark,2015.12.22-Ford.pdf
2015.12.21.b,21-Dec-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Bronze whaler shark, 6'",2015.12.21.b-Norburn.pdf
2015.12.21.a,21-Dec-2015,2015,Unprovoked,BRAZIL,Pernambuco,Scuba diving,N,"Tiger shark, 1.5 m ",2015.12.21.a-Brazil.pdf
2015.12.19,19-Dec-2015,2015,Unprovoked,ARUBA,,Sea disaster,Y,,2015.12.19-Aruba.pdf
2015.12.13,13-Dec-2015,2015,Boating,AUSTRALIA,New South Wales,Fishing,N,"White shark, 3.5 m",2015.12.13-Crust-Boat.pdf
2015.12.11,11-Dec-2015,2015,Unprovoked,BAHAMAS,,Lobster fishing,N,Bull shark,2015.12.11-Pinder.pdf
2015.12.08,08-Dec-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Wading,N,,2015.12.08-Scott.pdf
2015.11.20,20-Nov-2015,2015,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,N,Galapagos shark,2015.11.20-Hurley.pdf
2015.11.16,16-Nov-2015,2015,Unprovoked,USA,Florida,Surfing,N,,2015.11.16-Conti.pdf
2015.11.15.b,15-Nov-2015,2015,Unprovoked,USA,Florida,Swimming,N,,2015.11.15.b-SRB.pdf
2015.11.15.a,15-Nov-2015,2015,Unprovoked,USA,Florida,Surfing,N,"Spinner shark, 7'",2015.11.15.a-Engelman.pdf
2015.11.10,10-Nov-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,"Bull shark, 2.8 to 3.1 m",2015.11.10-Morgan.pdf
2015.12.23,07-Nov-2015,2015,Invalid,USA,Florida,Surfing,UNKNOWN,Shark involvement not confirmed,2015.11.07-Underwood.pdf
2015.11.03,03-Nov-2015,2015,Unprovoked,USA,Hawaii,Swimming,N,,2015.11.03-O'Leary.pdf
2015.11.01.b,01-Nov-2015,2015,Unprovoked,USA,Florida,Wading,N,3' to 5' shark,2015.11.01.b-Kruse.pdf
2015.11.01.a,01-Nov-2015,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,N,,2015.11.01.a-Ernesto.pdf
2015.10.30,30-Oct-2015,2015,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,N,,2015.10.30-Galli.pdf
2015.10.28.a,28-Oct-2015,2015,Unprovoked,USA,Hawaii,Body boarding,N,,2015.10.28-Senensi.pdf
2015.10.25,25-Oct-2015,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,N,"White shark, 3 to 3.5m ",2015.10.25-Anderson.pdf
2015.10.21,21-Oct-2015,2015,Unprovoked,USA,Florida,Surfing,N,5' shark,2015.10.21-Playalinda.pdf
2015.10.19,19-Oct-2015,2015,Unprovoked,USA,Florida,Surfing,N,"Spinner shark, 5'",2015.10.19-Kirn.pdf
2015.10.17.c,17-Oct-2015,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing for shrimp,Y,,2015.10.17.c-Cavel.pdf
2015.10.17.b,17-Oct-2015,2015,Invalid,USA,Hawaii,Surfing,UNKNOWN,No shark involvement,2015.10.17.b.-Hawaii. pdf
2015.10.17.a,17-Oct-2015,2015,Unprovoked,USA,Hawaii,Swimming,N,"Tiger shark, 7'",2015.10.17.a-Lee.pdf
2015.10.13,13-Oct-2015,2015,Boating,USA,California,Kayak Fishing,N,Hammerhead sp.,2015.10.13-Pavacich-kayak.pdf
2015.10.09.b,09-Oct-2015,2015,Unprovoked,USA,South Carolina,Boogie boarding,N,,2015.10.09.b-Kershner.pdf
2015.10.09.a,09-Oct-2015,2015,Unprovoked,USA,Hawaii,Surfing,N,"Tiger shark, 13' ",2015.10.09.a-Cook.pdf
2015.10.08,08-Oct-2015,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,N,,2015.10.08-Rafael.pdf
2015.10.07,07-Oct-2015,2015,Unprovoked,AUSTRALIA,Western Australia,Surfing,N,,2015.10.07-Zawadzki.pdf
2015.10.05.b,05-Oct-2015,2015,Unprovoked,USA,Florida,Body boarding,N,,2015.10.05.b-FtPierce.pdf
2015.10.05.a,05-Oct-2015,2015,Unprovoked,USA,Texas,Wading,N,4' to 5' shark,2015.10.05.a-Slaughter.pdf
2015.10.04,04-Oct-2015,2015,Unprovoked,USA,Florida,Surfing,N,"Blacktip shark, 4' to 5'",2015.10.04-Tarasovic.pdf
2015.09.29,29-Sep-2015,2015,Unprovoked,USA,Florida,Surfing,N,"Blacktip shark, 5' to 6'",2015.09.29-Morrison.pdf
2015.09.26,26-Sep-2015,2015,Unprovoked,AUSTRALIA,Queensland,Snorkeling,N,,2015.09.26-QLD.pdf
2015.09.24,24-Sep-2015,2015,Boating,USA,California,Kayak fishing,N,"White shark, 19'",2015.09.24-Kenney.pdf
2015.09.20.d,20-Sep-2015,2015,Unprovoked,USA,Florida,Surfing,N,juvenile shark,2015.09.20.d-NSB.pdf
2015.09.20.c,20-Sep-2015,2015,Unprovoked,USA,Hawaii,Spearfishing,N,"Tiger shark, 13'",2015.09.20.c-Braxton.pdf
2015.09.20.b,20-Sep-2015,2015,Unprovoked,USA,Florida,Wading,N,4' shark,2015.09.20.b-Bitner.pdf
2015.09.20.a,20-Sep-2015,2015,Unprovoked,USA,Florida,Photographing fish,N,,2015.09.20.a-Schiavo.pdf
2015.09.19,19-Sep-2015,2015,Boating,USA,California,Kayak Fishing,N,Hammerhead shark,2015.09.19-McCracken.pdf
2015.09.18,18-Sep-2015,2015,Unprovoked,USA,Florida,Swimming,N,,2015.09.18-Vergenz.pdf
2015.09.17,17-Sep-2015,2015,Unprovoked,USA,Florida,Surfing,N,,2015.09.17-Liebetrau.pdf
2015.09.08,08-Sep-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,6' shark,2015.09.08-Daniels.pdf
2015.09.06,06-Sep-2015,2015,Unprovoked,USA,California,Stand-Up Paddleboarding,N,"White shark, 11' to 12'",2015.09.06-Gennaro.pdf
2015.09.05,05-Sep-2015,2015,Provoked,USA,California,Kayak Fishing,N,Hammerhead shark.,2015.09.05-Marks.pdf
2015.09.04,04-Sep-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,N,"White shark, 2.5 m",2015.09.04-Quinliven.pdf
2015.09.03,03-Sep-2015,2015,Unprovoked,USA,South Carolina,,N,4' shark?,2015.09.03-Wagner.pdf
2015.09.01,01-Sep-2015,2015,Unprovoked,THAILAND,Phuket,Wading,N,small shark,2015.09.01-Neame.pdf
2015.09.00,Sep-2015,2015,Unprovoked,FIJI,,Spearfishing,N,Tiger shark,2015.09.00-Lautiki.pdf
2015.08.29.b,29-Aug-2015,2015,Unprovoked,USA,California,Surfing,N,"White shark, 11' to 12'",2015.08.29.b-Dempsey.pdf
2015.08.29.a,29-Aug-2015,2015,Unprovoked,USA,California,Surfing,N,"White shark, 10' to 12' ",2015.08.29.a-Phillips.pdf
2015.08.22.b,22-Aug-2015,2015,Invalid,USA,Florida,,UNKNOWN,Shark involvement not confirmed,2015.08.22.b-CocoaBeach.pdf
2015.08.22.a,22-Aug-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2015.08.22.a-Carr.pdf
2015.08.20,20-Aug-2015,2015,Unprovoked,USA,South Carolina,Surfing,N,4' shark,2015.08.20-Peyton.pdf
2015.08.19,19-Aug-2015,2015,Unprovoked,USA,Florida,Walking,N,3' shark,2015.08.19-Szsarmack
2015.08.18.b,18-Aug-2015,2015,Boating,USA,California,Kayak Fishing,N,"White shark, 13'",2015.08.18.b-Lyon.pdf
2015.08.18.a,18-Aug-2015,2015,Invalid,SPAIN,Alicante,Swimming,UNKNOWN,Shark involvement not confirmed,2015.08.18.a-Benidorm.pdf
2015.08.10,10-Aug-2015,2015,Provoked,USA,California,Spearfishing,N,Hammerhead shark. 6' to 7',2015.08.10-Shafer.pdf
2015.07.31,31-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,White shark,2015.07.31-Ison.pdf
2015.07.28,28-Jul-2015,2015,Unprovoked,COSTA RICA,Guanacaste,Surfing,N,,2015.07.28-McCall.pdf
2015.07.27,27-Jul-2015,2015,,AUSTRALIA,Victoria,Surfing,UNKNOWN,,2015.07.27-Victoria.pdf
2015.07.26.b,26-Jul-2015,2015,Unprovoked,USA,Florida,Surfing,N,"Blacktip or spinner shark, 4'",2015.07.26.b-Warrilow.pdf
2015.07.26.a,26-Jul-2015,2015,Invalid,USA,South Carolina,Floating,UNKNOWN,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",2015.07.26.a-Edisto.pdf
2015.07.25,25-Jul-2015,2015,Unprovoked,AUSTRALIA,Tasmania,Scallop diving on hookah,Y,"White shark, 3.9 to 4.2 m",2015.07.25-Johnson.pdf
2015.07.23.b,23-Jul-2015,2015,Provoked,USA,California,Kayak Fishing,N,"Mako shark, 100-lb",2015.07.23.b-Lorber.pdf
2015.07.23.a,23-Jul-2015,2015,Unprovoked,AUSTRALIA,Victoria,Surfing,N,"Bronze whaler shark, 1.5m",2015.07.23.a-Victoria.pdf
2015.07.22,22-Jul-2015,2015,Unprovoked,REUNION,,Surfing,N,"Bull shark, 2m",2015.07.22-Arrieguy.pdf
2015.07.19,19-Jul-2015,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,N,White shark,2015.07.19-Fanning.pdf
2015.07-10,10-Jul-2015,2015,Unprovoked,USA,California,Surfing,N,"White shark, 7'",2015.07.10-Miskin.pdf
2015.07.08,08-Jul-2015,2015,Invalid,USA,California,Treading water,UNKNOWN,Shark involvement not cofirmed,2015.07.08-Finney.pdf
2015.07.06,06-Jul-2015,2015,Invalid,FRENCH POLYNESIA,Bora Bora,Swimming,UNKNOWN,No shark involvement,2015.07.06-Termini.pdf
2015.07.04.b,04-Jul-2015,2015,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,N,6' shark,2015.07.04.b-Hester.pdf
2015.07.04.a,04-Jul-2015,2015,Unprovoked,USA,North Carolina,,N,,2015.07.04.a-Marine.pdf
2015.07.03,03-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,White shark,2015.07.03-Hoile.pdf
2015.07.02,02-Jul-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Body boarding ,N,White shark,2015.07.02-Matt-Lee.pdf
2015.07.01,01-Jul-2015,2015,Unprovoked,USA,North Carolina,Swimming,N,6' to 7' shark,2015.07.01-Costello.pdf
2015.06.30.b,30-Jun-2015,2015,Unprovoked,AUSTRALIA,New South Wales,Surfing,N,,2015.06.30.b-Steve.pf
